对象,pattern,观点词,个数
油头,控油 效果-,好,1.0
购买,了 真的-,好,1.0
头发,一点-,不顺,1.0
头发,后 喜欢 这种-,干爽,1.0
追评,客服 服务态度 特别-,好,1.0
净屑,舒缓 的 还是 轻盈 控油 的 都 非常-,好,1.0
商品,气味 味道 好-,香,1.0
头发,比较-,软,1.0
洗发水,不仅 能-,有效,1.0
控油,效果 还是 很-,不错,1.0
头发,确实 很-,蓬松,2.0
不用,承受 满头 雪花 的-,痛苦,1.0
洗感,真的-,很棒,1.0
刷到,的 都 是 说-,容易,1.0
头发,也 不会 那么-,快,1.0
顺滑,用 洗完 头发+,好,1.0
物流,很-,顺畅,1.0
味道,轻盈+,蓬松,1.0
头发,油 的-,快,1.0
追评,清洁力 很-,强,1.0
头发,变得-,柔顺,5.0
去屑,的 效果 很-,不错,1.0
洗发水,让 我 告别 了 头发 油腻 的-,烦恼,1.0
吹干,后 头发 巨-,蓬松,1.0
体验,更加-,愉悦,1.0
客服,人员 也 很-,耐心,1.0
泡沫,的+,好,1.0
东西,还-,不错,2.0
闻到,了 很 香 很-,香,1.0
推荐,她 说-,挺好用,1.0
洗完,之后 很-,柔顺,1.0
祛油,能力 很-,强,1.0
妹子,来说 比较-,友好,1.0
吹干,后 头发-,柔顺,1.0
洗完,后 头发 有 很-,香,1.0
清洗,的 也 很-,干净,2.0
效果,真心-,不错,6.0
洗头,三天 没+,连续,1.0
头顶,发缝 成功-,秃,1.0
头发,都 觉得-,惊讶,1.0
洗起来,很-,不错,1.0
头发,感觉 也 很-,不错,1.0
去屑,效果 特别-,好,1.0
感觉,真的 太棒了 每 差 一步 都 是-,惊喜,1.0
味道,也 是 真的 很-,香,1.0
头发,感觉 好-,蓬松,1.0
洗发水,用 的 效果 非常-,好,1.0
控油,的 洗发水 特别-,好,1.0
追评,香味 很-,重,1.0
控油,效果 也 还-,不错,1.0
心情,的 让 人+,清新,1.0
控油,洗发水 很-,好,1.0
头发,以前 发质 很-,好,1.0
控油,洗完 头发 很-,清爽,1.0
头发,养护 的-,很好,1.0
追评,这款 洗发水 真的 令 我 感到-,惊喜,1.0
效果,蓬松+,确实,1.0
平价,用 着 不-,心疼,1.0
护发素,非常-,好,1.0
洗完,之后 头发 真的 很-,蓬松,1.0
洗发水,红书 入手 的+,小,1.0
油头,特别 特别-,友好,1.0
姐妹,干枯 毛躁 的+,容易,1.0
发膜,也 用 了 很-,不错,1.0
洗发水,还是 挺-,好,1.0
头发,控油-,蓬松,1.0
头皮屑,就-,少,1.0
洗发水,的 泡沫 细腻-,丰富,1.0
感觉,非常-,不错,2.0
洗发水,来说 控油 的 效果 还是-,不错,1.0
洗完,头 之后 也 很-,舒服,1.0
洗发水,朋友 给 我 推荐 了 这款+,幸好,2.0
发质,那种+,毛躁,1.0
气味,这 款 洗发水 真的 很-,不错,1.0
力度,还是 不错 的 不至于 洗完-,黏腻,1.0
头发,洗 后 很-,蓬松,1.0
控油,和 蓬松 的 都-,不错,1.0
销量,高 的 产品质量 都 比较-,差,1.0
留香,也-,不错,1.0
头发,柔顺-,蓬松,3.0
用过,最差-,最差,1.0
洗完,之后 头发 又 顺 又-,香,1.0
产品,真心-,不错,1.0
广告,做 点+,少,1.0
去屑,效果-,好,5.0
洗发水,家里+,正好,1.0
吹干,巨-,蓬松,1.0
头发,掉 得-,好,1.0
洗完,感觉 头皮-,很痒,1.0
追评,这款 洗发水 特别-,好,1.0
油腻,不+,柔软,2.0
头发,不会-,很滑,1.0
去屑,和 控油 两组 搭配 挺-,好,1.0
气味,挺-,香,4.0
商品,气味 味道 比较-,淡,1.0
发丝,头皮 和+,清洁,2.0
体验,的 使用+,愉悦,1.0
洗完,的 头发 挺-,清爽,1.0
头发,非常 的-,柔顺,1.0
控油,效果-,很好,1.0
头皮,感觉 很-,舒服,3.0
洗发水,洗 过 以后-,确实,1.0
价格,也 不算 很-,低,1.0
产品质量,和 味道 都 非常-,好,1.0
追评,从来 没用过 这么-,差,1.0
控油,效果 让 我 每天 都 能 保持 头发 的-,清爽,1.0
洗头,真的 很-,蓬松,1.0
头皮屑,已经-,明显,1.0
发膜,也 特别-,好,1.0
整体,还-,不错,1.0
泡沫,丰富-,细腻,11.0
头皮,也 变得 蓬松-,清爽,1.0
泡沫,出+,容易,2.0
头发,就-,奇痒,1.0
头皮,感觉 非常-,舒适,5.0
关键,洗完 真的 很-,蓬松,1.0
追评,不 知道 这个 销量 为什么 这么-,高,1.0
大瓶,买 了 2+,直接,1.0
香味,还 可以 坚持 很-,久,1.0
回购,就 买 了 两大瓶 去屑 加-,柔顺,1.0
洗起来,特别-,舒服,2.0
气味,也 很-,清新,1.0
感觉,洗 了-,确实,1.0
感觉,没 怎么 洗-,干净,1.0
大油头,的 救星 对 油头 真的 太-,友好,1.0
喜欢,很+,浓郁,1.0
营销,做 的-,不错,1.0
整体,使用 感觉-,很棒,1.0
洗发水,要-,蓬松,2.0
洗发露,非常-,好,2.0
头发,瞬间 清爽-,蓬松,1.0
去屑,效果 非常-,好,1.0
头发,变得-,蓬松,1.0
价格,能 买到 这么-,好,2.0
头发,很-,轻,1.0
洗发,的 配方 让+,温和,1.0
洗发水,的+,平常,1.0
头皮,平衡+,有效,1.0
光泽度,非常 的-,好,1.0
味道,感觉 还-,不错,1.0
店家,发货 非常-,快,1.0
头发,发质 已经-,差,1.0
产品,功效-,明显,1.0
推荐,用+,好,2.0
朋友,推荐 的 很-,不错,1.0
头发,蓬松 柔顺 不-,干燥,1.0
控油,效果 都 没有 这个-,好,1.0
希望,可以-,好,1.0
头皮,也 感觉 洗-,干净,1.0
洗发水,对 大油头 很-,友好,1.0
商品,气味 味道-,好,2.0
商品,用 起来 非常-,好,1.0
效果,也-,明显,1.0
产品质量,包装 很-,好,2.0
洗发水,泡沫 很-,丰富,1.0
洗完,头发 也-,扁,1.0
洗发,体验 更加 舒适-,愉悦,1.0
控油,很-,清爽,1.0
物品,使用 的 效果-,不错,1.0
味道,很-,好,12.0
喜欢,这 款 洗发水 的 泡沫 很-,丰富,1.0
感觉,头发 真的 挺-,蓬松,1.0
洗发,非常 清爽-,舒适,1.0
头发,很-,柔软,3.0
服务态度,很 好 物流-,快,1.0
好闻,洗完 之后 头发 也 炒 鸡 的-,蓬松,1.0
头发,一直 以来 都 容易 头油 头-,痒,1.0
头皮,非常-,清爽,1.0
头发,掉 的-,巨,1.0
起泡,就+,容易,1.0
洗发水,一瓶+,很大,1.0
洗发水,的+,香,2.0
洗完,头 很-,干爽,1.0
留香,时间-,长,2.0
洗发水,的+,温和,1.0
出油,不 像 以前 那么 容易+,明显,1.0
质地,很-,好,3.0
洗发水,真的 非常-,好,1.0
头发,是-,蓬松,1.0
头发,发质 是 那种-,细软,1.0
头发,很-,容易,5.0
气味,味道 好-,香,1.0
洗发水,控 油性 蛮-,好,1.0
去屑,效果-,不错,5.0
商品,包装-,完好,1.0
头发,过度-,干燥,1.0
成分,很-,好,1.0
变得,更加-,清爽,4.0
头皮屑,很-,严重,1.0
味道,很 好闻 也 洗 的 很-,干净,1.0
洗发水,姐妹 来 我家 使用 这个+,好,1.0
质感,很-,好,1.0
快递,纸盒子 里边-,直接,1.0
头发,的 控油 效果-,明显,1.0
态度,也 很-,好,1.0
味道,也 香 而-,不腻,1.0
头发,比较 柔顺-,易,1.0
效果,都-,不错,2.0
有用,的 洗发水 比做 什么 护理 都+,好,1.0
香味,香 的+,好,1.0
实体店,一样-,好,1.0
洗发水,的+,舒爽,3.0
头屑,长+,容易,1.0
头发,是-,细软,3.0
泡沫,丰富-,易,2.0
洗感,非常-,舒适,1.0
头发,清爽-,柔顺,1.0
头发,油 的 比 以前 更-,快,1.0
连发,膜 都 不用-,直接,1.0
味道,也-,不腻,1.0
洗发水,款用 起来 头发 很-,蓬松,1.0
颜值,很-,高,4.0
洗完,后 头发-,清爽,3.0
老公,短发 用 了 一次 也 说-,差,1.0
感受,很-,不错,1.0
顺滑,的 头发 也 没有 那么-,粗糙,1.0
头发,就 会-,蓬松,1.0
洗完,之后 头皮-,清爽,1.0
气味,很-,不错,2.0
推荐,都 在+,红,1.0
顺滑,还+,蓬松,1.0
追评,用 这个 洗发水 头发 掉 的-,厉害,1.0
效果,控油+,香,1.0
味道,用+,好,1.0
做工,都 非常-,好,1.0
效果,巨-,好,1.0
洗发水,都-,挺好用,1.0
收到,货 包装 很-,好,1.0
头皮,也-,不痒,2.0
头发,特别-,蓬松,3.0
蓬松度,也 很-,高,1.0
整体,感觉 控油 力度 还是 不错 的 不至于 洗完-,黏腻,1.0
赠品,的 还有+,挺好用,1.0
商品,很-,不错,1.0
评论,却-,全,1.0
头发,明显 变得-,蓬松,1.0
瓶身,有 一点-,小,1.0
东西,很-,好,7.0
东西,也 很-,便宜,1.0
洗完,之后 头发 很-,香,1.0
洗完,头皮 都 很-,清爽,1.0
态度,挺-,好,1.0
香味,也 不 刺鼻 和-,浓烈,1.0
感觉,挺-,清爽,1.0
回购,几瓶 又+,好,1.0
气味,也-,挺好,1.0
头发,也 不-,容易,2.0
气味,很-,清淡,1.0
头发,很 顺滑-,干爽,1.0
追评,这款 洗发水 收到 货后 就-,直接,1.0
效果,都-,一般,2.0
活动,没有 之前 力度-,大,1.0
洗完,就 超级-,柔顺,1.0
香味,有 一股 淡淡的+,柔顺,1.0
头皮,特别-,清爽,6.0
洗完,头发 很-,干净,1.0
物流,也 很-,好,1.0
冲洗,后 头发 干净-,清爽,1.0
香味,好闻 不会 腻 得-,慌,1.0
洗发水,我 都 买 了-,好,1.0
洗发水,的 香味 也 很 自然-,清新,1.0
洗发水,真的 是 很-,好,1.0
洗发水,的 一款+,很好,1.0
控油,效果-,不错,12.0
泡沫,合 每次 按 一下 就 可以 出 很多+,舒适,1.0
回购,的 宝子 们 都 别-,犹豫,1.0
效果,真的-,不错,10.0
产品,很-,不错,2.0
力度,也 很-,强,1.0
洗发水,是 我 最近 的-,最爱,1.0
洗发水,闻 起来 很-,香,1.0
吹干,之后 头发 就 头发 都 巨 蓬松-,柔顺,1.0
感觉,这款 挺-,好,1.0
顺滑,比 平时 用 的 洗发水 更 蓬松+,确实,1.0
香味,也 挺-,持久,1.0
服务态度,也-,很好,1.0
小样,还 送+,大,1.0
购物,来 让 我-,最满,1.0
洗完,头皮 也-,不辣,1.0
洗发水,洗 了 头发-,直接,1.0
头发,则 很-,柔弱,1.0
效果,的+,蓬松,6.0
商品,使用 感 很-,好,1.0
淘宝,上能 买到 质量 这样-,好,2.0
打开,以后 味道 也 很-,香,1.0
味道,香香的 好闻 还-,持久,1.0
洗完,头发 不怎么-,容易,1.0
洗发水,都 感觉 没有 这个 效果-,好,1.0
感觉,有 活力 的+,健康,1.0
头发,挺-,蓬松,1.0
追评,现在 看着 自己 这-,蓬松,1.0
好闻,味道 也 很+,柔顺,1.0
洗完,后 很 蓬松 也 很-,香,1.0
好闻,也 洗 的 很-,干净,1.0
头发,看起来 更加-,蓬松,1.0
气味,洗发水 很-,好,1.0
头发,也 是 可以-,直接,1.0
头皮,被-,彻底,2.0
感受,的+,最大,1.0
气味,质量 非常-,好,1.0
追评,非常 好 非常 好 非常 好 非常 好 非常-,好,1.0
效果,能 看到 去屑 的+,明显,1.0
感觉,真的 很 不-,舒服,1.0
效果,味道 什么 的 都-,不错,1.0
头皮,减少+,有效,1.0
收到,了-,好,1.0
喜欢,喷香 水 所以-,具体,1.0
用过,效果 是 我+,蓬松,1.0
洗发,后 头皮 感觉-,清爽,1.0
控油,非常-,差,1.0
油性,蛮-,好,1.0
油性皮肤,了 我 是+,蓬松,1.0
顺滑,洗完 头发 也 很+,温和,1.0
头发,属于-,细软,1.0
洗完,效果-,好,1.0
提好,很-,好,1.0
性价比,极-,高,1.0
宝贝,质量-,不错,2.0
闻到,了 很-,香,1.0
好看,让 我 感觉 每次 早上 不 化妆 也 很+,蓬松,1.0
味道,很-,甜腻,1.0
成分,比较-,温和,1.0
头发,变得 很 蓬松-,清爽,1.0
控油,用 一次-,柔顺,1.0
博主,在 用 评价 都 很-,好,1.0
洗发,后 头发-,蓬松,1.0
效果,确实 很-,不错,1.0
感觉,洗-,干净,1.0
控油,效果 是 真的-,好,1.0
发膜,好-,香,1.0
服务态度,特别-,好,1.0
洗发水,不仅 清洁力-,强,1.0
头发,就 头发 都 巨-,蓬松,1.0
追评,这个 洗发水 真是 解决 了 我-,一大,1.0
控油,产品 中 效果-,最好,3.0
头发,都 能-,蓬松,1.0
味道,的+,清新,2.0
味道,之 水 的+,自由,1.0
头发,的 洗发水 真的 是+,好,1.0
家人,买 了 觉得-,好,1.0
变得,越来越-,慢,1.0
洗完,了 头皮 很-,清爽,1.0
洗发水,口碑 很-,不错,1.0
气味,洗完-,挺顺,1.0
头皮,很-,舒适,1.0
追评,洗完 头发 很-,干净,1.0
头发,包脸 的-,快乐,1.0
洗完,很 好闻+,香,1.0
包装,设计-,简洁,2.0
追评,超级-,难,1.0
头皮,环境 清爽-,舒适,1.0
后发,质 很-,蓬松,1.0
颜值,起来+,蓬松,1.0
控油,效果 还-,挺好,1.0
洗完,了-,蓬松,1.0
牌子,非常-,好,2.0
质量,这样-,好,2.0
商品,使用 体验 也-,不错,1.0
追评,包装 很-,精美,1.0
味道,是 清爽型 的 我 是-,细软,1.0
洗完,头发 感觉 好-,蓬松,1.0
控油,的 效果 真的-,不错,1.0
变得,可-,柔顺,1.0
控油,洗发水 用 后 头发 非常-,蓬松,1.0
卖家,的 客服 服务态度 从头到尾 都 很-,好,1.0
头发,特别-,舒爽,1.0
洗发水,和 护发素 洗完 很-,柔顺,1.0
气味,很淡-,很淡,1.0
控油,的 效果 很-,好,1.0
没掉,这么-,快,1.0
发丝,也 更加-,柔顺,1.0
遇见,一款 好 的 洗发水 真的 不-,容易,1.0
破坏,头皮-,健康,1.0
头皮,被 温和 地-,清洁,1.0
洗头,都 有 一种-,愉悦,1.0
追评,lg 最起码 出油 出 的-,很慢,1.0
洗完,也 不是 很-,干燥,1.0
商品,气味 挺-,香,3.0
发现,控油 效果 比-,一般,1.0
头发,散发 的 香味 也 很-,持久,1.0
洗发水,把 我 的 老+,直接,1.0
效果,让 我 每天 都 能 保持-,清爽,1.0
产品,真的 非常-,好,1.0
头皮,是 贴+,老,2.0
追评,洗 了 头发 就-,痒,1.0
毛孔,都 被 清洁 得 很-,彻底,1.0
油头,现在-,明显,1.0
发质,出油 的+,容易,1.0
洗完,头发 蓬松-,清爽,2.0
效果,的确-,不错,1.0
洗发水,红书 安利 的 这款+,小,1.0
头发,就-,痒,1.0
清洗,头 皮得很 干净-,清爽,1.0
护发素,也 变得-,柔软,1.0
洗完,之后 头皮 也 有 一点点-,清爽,1.0
实体店,还-,贵,1.0
洗完,后-,清爽,1.0
卖家,的 服务 也-,很棒,1.0
品牌,很-,不错,1.0
牌子,好多 大网-,红,1.0
洗发水,用 着 挺-,好,1.0
气味,洗发水 味道 很 很-,香,1.0
时间,还 很-,长,1.0
洗发水,的+,高,1.0
感觉,没洗-,干净,1.0
头皮,的 泡泡 在+,细腻,1.0
好用,是+,确实,2.0
头发,太-,友好,1.0
洗完,不是 很-,柔顺,1.0
控油,都 很-,好,1.0
头发,现在 看起来 更加-,健康,2.0
变得,不幸 刚 开始 洗 还-,挺好,1.0
控油,的 效果 是-,最好,1.0
洗发水,的+,不错,9.0
追评,洗发水-,挺好用,2.0
东西,果然 不会-,差,1.0
洗发水,味道 很 很-,香,1.0
卖家,服务 也 很-,好,1.0
控油,只 做到+,单单,1.0
味道,刚刚-,好,1.0
感觉,到 头皮 非常-,清爽,1.0
好闻,挺+,清新,1.0
洗完,头发 很 顺 蓬松度 也 很-,高,1.0
头发,更-,蓬松,1.0
护发素,的 是 它 的+,难忍,1.0
头发,光泽度 很-,高,1.0
头发,也 不-,暴燥,1.0
洗完,特别-,舒服,2.0
头发,之后 也-,顺,1.0
商品,一如既往 的-,好,1.0
包装,很-,精致,2.0
洗起来,头发 很-,蓬松,1.0
发丝,都-,根根分明,1.0
追评,现在 我 的 头发 真的 很-,蓬松,1.0
洗头,告别 了 每天+,彻底,1.0
头皮,被-,温柔,2.0
环境,洗发水 改善 头皮+,舒爽,1.0
购买,塌 很 推荐+,细软,1.0
控油,力度-,不错,1.0
头发,之后 五天 都 很-,蓬松,1.0
洗完,头 之后 出 油 真的 很-,慢,1.0
泡沫,很-,细腻,4.0
洗完,可-,蓬松,1.0
同款,超市 都 要-,小,1.0
洗完,就是 蓬松-,高,1.0
追评,太-,差,1.0
头发,洗 的 很-,蓬松,2.0
优惠,力度-,大,1.0
好闻,的 味道 很+,蓬松,1.0
感觉,性价比 还-,不错,1.0
洗好,后 很-,柔顺,1.0
泡沫,轻轻 一 搓 就 会 出 好多+,棒,1.0
洗完,头皮 很-,干净,2.0
冲洗,后 头发-,干净,1.0
头发,清洁 的 很-,干净,1.0
商品,气味-,好,6.0
追评,以后 会 一直 回购 的-,很好,1.0
发根,的 洗完 头发+,蓬松,1.0
头发,能 持续保持 干爽-,清爽,1.0
发膜,款+,柔顺,1.0
发丝,清爽 不-,粘腻,1.0
头发,很-,香,7.0
发质,很-,好,2.0
产品质量,一如既往 的-,好,1.0
想着,肯定 不会-,差,1.0
控油,效果 贼-,强,1.0
控油,效果 是 真的 很-,好,1.0
气味,香味 很 清新-,舒服,1.0
气味,气味-,温和,1.0
头发,都 是-,蓬松,1.0
好用,很-,柔顺,1.0
感觉,头皮 很-,干净,1.0
洗发水,很 温和 很-,不错,1.0
头发,有-,很棒,1.0
洗发水,效果 都-,一般,1.0
宝贝,真的 很好 很-,好,1.0
头发,还-,很痒,1.0
效果,油头 用过 很多 洗发水 都 没有+,大,1.0
头发,洗完 一点 也 不-,毛躁,1.0
感觉,洗 的 很-,干净,2.0
头发,质 都 有 了-,明显,1.0
推荐,的 商品 应该 不会-,差,1.0
功效,试试 其他+,完后,1.0
洗完,头 后-,清爽,1.0
说用,了 特别-,好,1.0
洗完,头发 感觉 很 清爽 也 很-,蓬松,1.0
追评,洗发露 非常-,好,1.0
室友,用 的 挺-,香,1.0
洗完,头 有点-,痒,1.0
味道,也 很-,独特,1.0
带来,舒适-,愉悦,1.0
洗发水,护发 效果 很-,好,1.0
熬夜,喜欢+,老,1.0
态度,非常-,好,1.0
头发,顺滑 卖家 服务 也 周到 发货 速度-,快,1.0
听说,kono 的 产品质量-,不错,1.0
头发,掉 的 巨-,严重,1.0
头发,特别-,硬,1.0
头发,依然 保持-,柔顺,1.0
东西,非常-,好,3.0
头发,比较-,容易,2.0
头发,的 质感 也 变得 更加-,柔顺,2.0
吹干,后 头发 很-,蓬松,1.0
包装,很 仔细 、-,严实,1.0
质量,也 很-,好,1.0
控油,效果 也 是 我 用过-,最好,1.0
服务态度,确实-,不错,1.0
脱发,超级-,严重,1.0
头皮,保护 的-,很好,1.0
发质,很 毛躁 那种+,粗,1.0
好闻,很+,香,5.0
香味,很-,柔和,1.0
头皮屑,伴随 起+,干痒,1.0
洗完,之后 头发 也 不怎么-,痒,1.0
态度,很-,好,3.0
感觉,确实-,不错,2.0
赠品,闻 着 挺-,香,1.0
商品,应该 不会-,差,1.0
控油,很-,好,4.0
亮泽,高端 大气 上档次 非常 好用 很 柔顺+,精美,1.0
头发,很-,干爽,1.0
感觉,的+,清爽,6.0
气味,控油 的 没有 说 的 那么-,好,1.0
闺蜜,用 了-,好,1.0
香味,还 挺 好闻 的 对于-,长,1.0
包装,很-,仔细,3.0
泡沫,特别 的-,丰富,1.0
洗完,头-,巨痒,1.0
蓬蓬,的 头发 真的-,好,1.0
能力,控油+,确实,1.0
经营,观念 和 格局 能 把 产品 做-,大,1.0
姐妹,们 泡沫-,丰富,1.0
女孩子,头发-,长,1.0
头发,就 头发 都 巨 蓬松-,柔顺,1.0
洗发水,几款+,好,2.0
头皮,超级-,温和,1.0
气味,刚 打开 气味 就 很-,香,1.0
试用,过 洗发 非常 清爽-,舒适,1.0
头皮,有种 很-,轻松,1.0
推荐,而且 可以 坚持 两三天 不 洗头 了 很+,蓬松,1.0
感觉,很-,明显,1.0
追评,这个 洗发水 控油 效果 巨-,好,1.0
头发,清爽-,干净,2.0
头发,涩-,涩,1.0
头发,特-,清爽,1.0
清洗,就+,容易,2.0
洗完,头发 瞬间-,清爽,1.0
洗完,清爽-,蓬松,1.0
头发,还 变得-,干涩,1.0
头皮,感觉 第二天 头发 不 清爽 还+,明显,1.0
冲洗,易+,丰富,2.0
气味,泡沫 蛮 多 的-,容易,1.0
头发,感觉 头皮 很-,舒服,1.0
追评,感觉 是-,假,1.0
宿舍,蹭 了 舍友 的 又-,香,1.0
价格,用+,好,1.0
适合,的 是 很+,重要,1.0
洗发水,修复 而且 会 滋养 的 一款+,柔顺,1.0
好闻,的 对于-,长,1.0
去屑,的 效果 都 是-,很好,1.0
控油,效果-,明显,4.0
洗完,头发 后 的-,清爽,1.0
头皮,很-,清爽,12.0
清洗,很-,彻底,1.0
姐妹,们-,慎重,1.0
头发,也 很-,滑顺,1.0
洗完,超级-,清爽,1.0
头发,也 更加-,蓬松,1.0
商家,服务态度-,好,1.0
洗完,头发 不仅 柔顺 还 很-,香,1.0
沙龙,控油 洗发水 真的 非常-,好,1.0
头皮,特别-,痒,2.0
产品,的+,最好,5.0
洗完,后-,明显,1.0
气味,两个 味道 都-,不错,1.0
容量,大-,很大,1.0
头皮屑,也-,少,2.0
头发,蓬松-,清爽,3.0
朋友,介绍 的 还-,不错,1.0
商品,气味 味道 很-,清新,2.0
泡沫,特别-,丰富,1.0
洗发水,的 香气-,清新,1.0
洗发水,效果 真心-,不错,1.0
产品,还-,不错,2.0
头发,的 护理+,很好,1.0
控油,效果 让 我 每天 都 能 保持-,清爽,1.0
头发,也 变-,柔顺,1.0
包装,很-,完好,1.0
洗发水,还-,不错,1.0
发质,于+,苦恼,1.0
追评,洗完 头发 后 真的 很-,蓬松,1.0
妈妈,用 的话 打算 再 给+,好,1.0
控油,能力 也 超级-,好,1.0
质量,非常-,好,7.0
效果,护发+,简单,2.0
感觉,每 根 头发 都 被 呵护 得 很-,好,1.0
效果,也-,很棒,7.0
头发,之后 也-,很顺,1.0
效果,也 还-,不错,1.0
泡泡,打 起来 很-,细腻,1.0
超市,感觉 这款 挺-,好,1.0
效果,很-,明显,3.0
效果,特别 好 洗完 头发 很 清爽-,蓬松,1.0
洗发水,的 香味 非常-,持久,1.0
头发,油 还-,痒,1.0
控油,效果 确实-,不错,1.0
好用,洗发水 简直 太+,蓬松,1.0
洗发水,好 用-,柔顺,1.0
追评,性价比 很-,高,1.0
赠品,味道 也-,不错,1.0
发丝,洗完 的-,蓬松,1.0
追评,味道 很-,好,1.0
包装,很-,干净,1.0
效果,最-,明显,1.0
洗完,也 不 干燥 去 头屑 也 很-,不错,1.0
情况,真的 很-,不错,1.0
时间,很-,久,1.0
质量,还-,不错,1.0
头发,不仅-,干净,3.0
追评,商品质量 很-,好,1.0
头发,都 巨-,蓬松,1.0
发膜,还有+,不错,2.0
护发素,都 是 正品 质量 很-,好,2.0
下买,过 一次 线 上比 线下-,便宜,1.0
洗发水,收到 货后 就-,直接,1.0
香味,也 比较-,清新,1.0
吹干,后 头发 很-,柔顺,1.0
控油,蓬松 洗发水 都 是-,很大,1.0
头发,蓬蓬 的+,蓬松,1.0
洗发水,用 起来 真的 超级-,舒服,1.0
