对象,pattern,观点词,个数
头皮,清爽 又-,干净,1.0
头发,自然-,蓬松,1.0
道理,的+,有贵,2.0
替换装,价格 实惠 对 环境 也 比较-,友好,1.0
头发,炸毛-,枯燥,1.0
购物,的+,愉快,1.0
商家,服务态度 确实-,不错,1.0
感觉,头发 更加-,健康,1.0
地方,卖 的-,便宜,1.0
细节,、 品质 、 做工 都 非常-,好,1.0
实惠,还 送 小样 特别+,大,1.0
洗完,头发 都 感觉-,清爽,1.0
宝贝,收到 了 包装-,完好,1.0
洗发水,的+,柔顺,2.0
洗发水,真是 解决 了 我-,一大,1.0
那可真,是 太-,香,1.0
头发,都 很-,干爽,1.0
洗发水,效果-,不错,2.0
用过,油头+,大,1.0
洗手间,都 是-,香,1.0
洗完,头皮 巨-,干净,1.0
店家,送 了-,好,1.0
味道,我 挺 喜欢 这个+,香,1.0
商家,服务态度-,确实,1.0
油腻,用 洗完 头发 顺滑 而 不+,好,1.0
头皮,确实 是 清爽-,舒服,1.0
控油,的 效果 还是-,不错,1.0
感觉,很-,舒服,4.0
毛孔,都 被-,清洁,1.0
拆箱,的 感觉 真的 太棒了 每 差 一步 都 是-,惊喜,1.0
追评,洗发水 洗 了-,毛躁,1.0
头发,洗完 之后 特别 干净-,清爽,1.0
洗完,之后 效果-,好,1.0
洗完,头 好-,香,1.0
香味,偏-,清淡,1.0
去屑,加-,柔顺,1.0
性价比,也 很-,好,1.0
洗完,后 头皮-,不痒,1.0
周到,发货 速度-,快,1.0
感觉,头发 感觉 更加-,健康,1.0
满头,雪花 的-,痛苦,1.0
头皮,也 有 一点点-,清爽,1.0
洗头,都 不会-,痒,1.0
头发,非常 的-,蓬松,4.0
亮泽,护发素 可以 使 头发 非常 的-,蓬松,1.0
洗完,头皮 绝对-,不痒,1.0
性价比,高质量-,好,1.0
发现,头发 他 不-,蓬松,1.0
追评,控油 又-,蓬松,1.0
控油,洗发水 确实 用 起来 感觉-,不错,1.0
品牌,的 量-,大,1.0
控油,能力-,确实,1.0
女儿,头发 控油 效果 很-,好,1.0
出油,头发 不 那么 容易+,确实,1.0
头发,保持 一整天 的-,清爽,1.0
客服,的 服务态度 也 很-,好,2.0
感觉,洗完 头 都 变-,清爽,1.0
评价,说 香味-,不错,1.0
留香,还 很-,好,1.0
油腻,不+,干爽,3.0
控油,效果 很-,好,44.0
包装,得 很-,好,2.0
洗发水,质量-,不错,1.0
洗发水,让 我 的 油性 头发 得到 了-,很好,1.0
气味,这 款 洗发水 非常-,好,1.0
头发,很-,蓬松,61.0
产品,的+,高,1.0
冲洗,时 很 容易 就 洗-,干净,1.0
洗发水,用 后 头发-,柔顺,1.0
头发,有 多 去 油腻 、 有 多-,蓬松,1.0
花香调,的+,持久,2.0
泡沫,绵密-,细腻,2.0
头发,出油-,少,1.0
清洁力,和 控油 都 很-,不错,1.0
洗发水,中 控油 效果-,最好,1.0
味道,闻 着 也 很-,好,1.0
头发,也 太-,柔顺,1.0
能力,很-,好,1.0
气味,味道 比较-,淡,1.0
客服,态度-,好,2.0
头发,洗完 很-,蓬松,1.0
吹干,后 真的 很-,蓬松,1.0
去屑,效果 挺-,好,1.0
洗发水,头发 掉 的-,厉害,1.0
护发素,不 需要 用+,根本,1.0
头发,洗完 真的 很-,蓬松,1.0
头发,和 头皮 都 很-,干净,1.0
商品,气味 味道-,不重,1.0
香味,也 变得-,一般,1.0
头油,原因 后-,直接,1.0
香味,的+,清淡,3.0
好闻,味道+,很滑,1.0
道理,很-,好,1.0
好闻,我 挺 喜欢 这个 味道 的 不 刺鼻 很+,香,1.0
控油,效果 也 很-,好,7.0
头皮屑,提+,完喜,1.0
头发,能 管好 就-,好,1.0
卖家,的 服务 也 很棒 发货-,快,1.0
洗完,头 很 顺滑 且-,清爽,1.0
过度,清洁 导致 头皮-,干燥,1.0
不油,头发 也+,柔顺,1.0
发膜,就 很-,容易,1.0
感觉,头顶 很-,干净,1.0
洗完,头发 挺-,香,1.0
后发,质-,柔顺,1.0
控油,效果 让 我 非常-,惊喜,1.0
快递,的 时候 快递 盒 都-,扁,1.0
朋友,那里 用 过 感觉 还-,不错,1.0
感觉,一天 的-,疲劳,1.0
头发,不-,毛躁,2.0
价格,很-,合适,1.0
洗完,头发-,干燥,1.0
预期,想象 的-,好,1.0
香味,一股+,很大,1.0
头发,不 出油 的-,快乐,1.0
熬夜,每天 脱发 很-,严重,1.0
不油,几天 也+,完好,1.0
头发,非常-,柔顺,5.0
洗完,头发-,清爽,3.0
喜欢,的 不要-,犹豫,1.0
找到,自己-,合适,1.0
洗发水,蓬松+,丰盛,1.0
头发,也 十分-,柔顺,1.0
去屑,的 和+,蓬松,1.0
气味,很-,清新,2.0
味道,喜欢 这个+,好,1.0
头皮,绝对-,不痒,1.0
产品,效果 宣传 的-,蓬松,1.0
洗完,头发 都 很-,柔顺,1.0
去油,的 效果-,不错,1.0
物流,包装 很-,一般,1.0
控油,我 感觉 还是-,不错,1.0
头皮,会-,痒,1.0
用水,打湿 之后 在 头发 上 揉搓 很-,温和,1.0
效果,出乎意料 的-,好,2.0
头皮,会 有 一些-,痒,1.0
追评,吹 完 就是 很 轻盈-,蓬松,1.0
护发素,很-,好,1.0
味道,没有 那么-,重,1.0
感觉,头 都-,轻松,1.0
清洗,的 就 更-,干净,1.0
洗发水,洗 的-,干净,1.0
头发,变得 格外-,清爽,1.0
头皮,清洁+,彻底,1.0
推荐,才+,好,1.0
追评,是 一个-,好,1.0
推荐,塌 很+,细软,1.0
朋友,们 推荐-,挺好用,1.0
感觉,还是-,不错,1.0
价格,有点-,贵,1.0
回购,用完 再+,香,1.0
回购,用 的话 会 继续+,好,2.0
发根,真的 很-,蓬松,1.0
产品,非常-,好,3.0
控油,净化 头皮 效果-,不错,1.0
宝贝,非常-,好,1.0
洗发水,真的 很-,不错,5.0
粉红色,的 好-,香,1.0
打开,闻 的 挺-,香,1.0
感觉,很-,不错,10.0
姐妹,的+,毛躁,1.0
追评,出门 一点 都 不 觉得-,尴尬,1.0
物流,也 特别-,快,1.0
好闻,很 很+,香,1.0
泡沫,非常 丰富-,细腻,1.0
效果,也 特别-,好,1.0
头发,妹子 来说 比较-,友好,1.0
评用,了 以后 掉头发 更-,严重,1.0
香气,的+,清新,1.0
头皮,清爽-,舒适,1.0
大气,高端+,精美,1.0
无比,的 头发 让 人 心情+,蓬松,1.0
气味,很-,浓厚,1.0
速度,也-,快,1.0
清香味,用 还有 一股 淡淡的+,好,1.0
洗完,头发 特别-,干爽,1.0
头发,不 清爽 还 头皮-,痒,1.0
性价比,挺-,高,2.0
追评,这款 洗发水-,确实,1.0
头发,现在 吹干 后 真的 很-,蓬松,1.0
追评,真正 可以 做到 洗-,干净,1.0
小巧,好用 超-,惊喜,1.0
洗发水,洗 了 头发 比 之前-,蓬松,1.0
洗完,后 较-,蓬松,1.0
想着,长期 使用 肯定-,不错,1.0
头发,比较-,蓬松,2.0
泡沫,也 是-,细腻,1.0
头发,很 顺滑 很-,蓬松,1.0
洗发水,喜欢 这 款+,好,2.0
头发,真的 很 柔顺 很-,蓬松,1.0
感觉,控油 效果 挺-,好,1.0
头发,更-,持久,1.0
洗发水,的 香味 和 控油 效果 都 有-,很高,1.0
追评,这 洗发水-,根本,1.0
控油,的 效果 也 很-,好,1.0
性价比,也-,高,1.0
气味,非常-,不错,1.0
洗发水,确实-,好,3.0
颅顶,就-,轻松,1.0
搭配,也 很-,不错,1.0
追评,不要 靠近 会 变得-,不幸,1.0
总体,来说 很-,好,1.0
头皮,控制+,有效,3.0
洗头,很-,清爽,2.0
控油,效果-,持久,14.0
追评,控油 效果-,好,1.0
客服,回复 消息 很快 态度 也-,不错,1.0
商品,气味 味道 很-,香,5.0
好评,五分+,全,1.0
朋友,的+,健康,1.0
洗头,几天 没有+,好,1.0
泡沫,非常-,丰富,4.0
头发,是 感觉 自己+,老,1.0
味道,挺-,好,6.0
追评,产品质量 挺-,好,1.0
控油,款 的 洗 了 之后 头发 会-,干燥,1.0
洗完,头 特别-,痒,1.0
香味,使 人-,愉悦,1.0
头发,很 柔顺-,蓬松,1.0
追评,黄色 的 这瓶-,快,1.0
发质,也-,柔顺,1.0
气味,商品 气味 味道-,不错,1.0
头发,保持-,干爽,1.0
速度,好-,快,2.0
头发,保持+,有效,1.0
头发,太-,蓬松,1.0
洗出来,洗发水+,蓬松,1.0
洗发水,的+,最好,2.0
效果,效果 是 我 用过 的+,蓬松,1.0
气味,一直 用 他家 洗发水 特别-,柔顺,1.0
打开,看看 闻到 了 很-,香,1.0
商品,气味-,清淡,1.0
香味,飞 起 淡淡的+,直接,1.0
喜欢,好-,柔顺,1.0
商品,气味-,蓬松,1.0
改善,用 了 两次 头皮屑 有+,连续,1.0
洗发水,的+,健康,1.0
牌子,我 一直 在 用-,很好,1.0
味道,很 好闻 而且 留香-,久,1.0
刺激,成分 也-,安全,1.0
追评,这个 洗发水 质地-,细腻,1.0
感觉,的+,疼,1.0
追评,洗-,完全,1.0
回购,用 继续+,好,1.0
控油,蓬松 效果 真的-,不错,1.0
洗发水,真的 做到 了 控油 很-,彻底,1.0
头皮,到+,清洁,1.0
护发素,也 特别-,好,1.0
头发,是 油头 控油 效果-,好,1.0
感觉,去屑 控油 效果-,不错,1.0
头屑,是 真的 很-,烦人,1.0
满意,高端 大气 上档次 非常 好用 很 柔顺 亮泽 很+,精美,1.0
包装,颜值 很-,高,1.0
粉色,洗发水 特别-,柔顺,1.0
洗完,比 之前 用 的 产品-,确实,1.0
包装,没有 上次-,好,1.0
发质,都-,好,1.0
头皮,确实 是-,清爽,1.0
感觉,的+,干净,1.0
泡泡,很 喜欢+,浓郁,1.0
头皮,感觉-,清爽,4.0
洗完,头发 也 很-,清爽,1.0
服务态度,从头到尾 都 很-,好,1.0
姐妹,们 不要-,犹豫,1.0
博主,红书 看到 一位+,小,1.0
洗完,头发 感觉 很-,好,1.0
商品,气味 味道 非常-,好,1.0
洗发水,唯一 让 我 感觉-,很好,1.0
洗完,头发-,不顺,1.0
包装,很-,严实,3.0
广告,说 的 那么-,好,1.0
味道,很-,清新,6.0
头油,就 已经 能 让 你 感觉 很-,明显,1.0
产品包装,很-,好,2.0
追评,买 礼物 能 买到 这么-,好,1.0
香味,也-,持久,1.0
商品,气味 洗发水 味道 很 很-,香,1.0
洗完,头发 特别-,蓬松,1.0
头发,闻 起来 很-,清新,1.0
追评,不错-,不错,1.0
头皮,也 不-,容易,1.0
发质,和 头皮 状况 有 了-,显著,1.0
洗完,头发 感觉 确实 会-,蓬松,1.0
效果,的 控油+,好,2.0
洗发水,还是 那么-,好,1.0
香味,也 很 自然-,清新,1.0
洗发水,换+,轻易,1.0
控油,去屑 效果 非常-,好,1.0
洗发水,的 选择 非常-,谨慎,1.0
头发,洗 后 不会-,毛躁,1.0
控油,洗发水 真的 很-,不错,1.0
洗发水,香味 很-,好,1.0
用完,的 还有 赠品 闻 着 挺 香+,挺好用,1.0
洗完,头发 后 挺-,蓬松,1.0
洗完,后 头发 蓬松-,柔软,1.0
洗完,头发-,蓬松,19.0
味道,挺-,香,7.0
油污,也 洗 的 很-,干净,1.0
洗完,发后 留香-,持久,1.0
商家,服务态度 堪称-,完美,1.0
感觉,用 起来+,确实,1.0
洗完,之后 头发 也 炒 鸡 的-,蓬松,1.0
效果,都 是-,很好,1.0
喜欢,我 很+,不错,1.0
洗发水,入手 的+,新,1.0
不用,都+,柔顺,1.0
追评,洗发水 不能-,单单,1.0
控油,加上-,蓬松,1.0
洗发,很-,柔顺,1.0
头发,巨-,蓬松,2.0
留香,很-,好,1.0
控油,洗发水 真的 特别-,好,1.0
洗发,头发-,柔顺,1.0
买来,才+,好,1.0
商品,气味-,不错,4.0
洗发水,洗 得 很-,干净,1.0
客服,态度 很-,好,2.0
希望,能-,有效,1.0
气味,持-,香,1.0
控油,时间-,长,2.0
效果,也 是-,很好,2.0
感觉,不会 有 油腻 的+,完全,1.0
洗完,一点 也 不-,毛躁,1.0
头发,只要 在 外面 洗头 就-,容易,1.0
头发,非常-,细顺,1.0
好闻,不会 腻 得-,慌,1.0
洗头,的 像 刚+,蓬松,1.0
过程,泡沫-,丰厚,1.0
营销,还 以为 很-,不错,1.0
泡沫,真的 很-,好,1.0
发货,非常-,快,2.0
好用,很+,香,3.0
头发,越来越-,蓬松,3.0
先用,了 丰盈 款 感觉-,不错,1.0
推荐,朋友+,好,1.0
客服,很-,好,2.0
气味,真的 很-,香,1.0
洗完,头发 的 香味 也 很-,好,1.0
关键,还是 控油 的 效果 是-,最好,1.0
头发,也-,扁,1.0
味道,的+,香,2.0
控油,去屑 效果-,不错,2.0
选择,的+,不错,6.0
头发,挺-,香,1.0
感觉,头发 的 油分-,明显,1.0
总体,来说-,不错,1.0
头发,都-,快,1.0
洗发水,用 了 后 不会-,毛躁,1.0
头发,去除+,迅速,3.0
感觉,真的 是 大大的-,惊喜,1.0
头发,发丝 也-,柔顺,1.0
洗完,头发 就 感觉 很-,清爽,1.0
活动,力度-,大,2.0
顺滑,很-,蓬松,1.0
吹干,后 保持 很-,干爽,1.0
洗完,吹干 之后 头发 就 头发 都 巨-,蓬松,1.0
控油,没有+,根本,2.0
评用,过 洗发水 头皮 太-,痒,1.0
好评,的 给出 五星+,认真,2.0
洗发水,的+,新,1.0
头皮屑,也 不-,痒痒,1.0
洗完,头发 之后 五天 都 很-,蓬松,1.0
追评,东西 非常-,好,1.0
头发,没有 那么-,容易,1.0
泡沫,蛮 多 的-,容易,1.0
发缝,成功-,秃,1.0
买家,包装 的 很-,扎实,1.0
头发,就 头发 都-,巨,1.0
洗完,之后 头发 很-,蓬松,3.0
追评,这款 洗发水 洗 的 很-,舒服,1.0
味道,了+,挺好用,1.0
头发,和 头-,健康,1.0
控油,洗发水 非常-,好,1.0
感觉,的+,愉悦,1.0
洗完,后 的 效果 很-,好,1.0
洗完,头发 也 不-,容易,1.0
商品,气味 刚 打开 气味 就 很-,香,1.0
实测,非常-,好,1.0
产品,特别-,好,1.0
头发,也-,很顺,1.0
洗完,发质 很-,好,1.0
头发,的 伤害-,很小,1.0
洗发水,真的 不-,容易,1.0
换来换去,还是 觉得 这个 牌子-,不错,1.0
洗完,头发 后 的 清爽 感-,持久,1.0
洗发水,气味-,不错,1.0
洗完,蓬松-,好,2.0
感觉,自己 的 头发 越来越-,蓬松,1.0
味道,都-,不错,3.0
水润,亮泽 护发素 可以 使 头发 非常 的-,蓬松,1.0
推荐,客服 很-,好,1.0
洗发水,的 评价 还-,不错,1.0
想象,的 那么-,好,1.0
清洗,头 皮得很-,干净,1.0
好闻,加上-,持久,1.0
护发素,也 是 那样 的-,粗糙,1.0
头发,柔顺 自然-,清爽,1.0
洗发水,很-,不错,12.0
搭配,挺-,好,1.0
质量,相当-,好,1.0
头发,看起来 更加-,健康,3.0
感觉,用 完 确实 相对-,不错,1.0
头发,之后 很 立体-,蓬松,1.0
味道,有点-,浓,1.0
改天,试试 另外 一瓶 客服 也 挺-,好,1.0
洗发水,的+,最难,1.0
清洗,揉搓+,好,1.0
头发,的 香味 也 很-,好,1.0
回来,质量 特别 的-,好,1.0
洗发水,的 去屑 效果 真心-,不错,1.0
头发,特别-,干爽,1.0
洗完,之后-,蓬松,1.0
推荐,的说 这款 洗发水-,不错,1.0
黄色,的 这瓶-,快,1.0
关键,是 价格 还-,不贵,1.0
头发,没有 描述 的-,蓬松,1.0
气味,比 平时 要-,便宜,1.0
印象,很-,好,1.0
购物,的+,不错,1.0
洗发水,的 香味 很-,清新,1.0
回家,用 了 之后 发现 控油 效果-,确实,1.0
头发,立马-,蓬松,1.0
洗出来,的 头发 特别-,蓬松,1.0
商家,服务态度 很-,好,2.0
追评,洗发水 的 香味 很-,清新,1.0
感觉,非常-,舒适,5.0
推荐,的 一个+,好,1.0
瓶子,的 真心-,不错,1.0
东西,质量 非常-,好,1.0
商品,气味 很 香 很-,香,1.0
产品,的+,明显,1.0
洗发水,收到 了用 了 一下-,不错,1.0
洗发水,控油 效果-,不错,1.0
头皮,很-,干净,3.0
大油头,的+,妥妥,1.0
头皮,感到 干燥 或-,不适,1.0
初中生,孩子 用 了 都-,合适,1.0
感觉,每 一根 头发丝 都-,干净,1.0
洗发水,颜值 很-,高,3.0
头发,蓬松 很-,清爽,1.0
头发,是 贴 在+,老,1.0
头发,洗 了 很-,柔顺,1.0
洗发水,油头 用过 很多+,大,1.0
出门,约会 一整天 都 还 很-,蓬松,1.0
控油,的 还是 轻盈+,舒缓,1.0
头皮,上 按摩 很-,舒服,1.0
感觉,掉头发 都-,少,1.0
追评,洗发水 很-,好,2.0
洗完,用+,好,1.0
产品质量,都 比较-,差,1.0
商品,就是+,直接,1.0
头发,很-,好,1.0
洗完,头发 也 十分-,柔顺,1.0
妈妈,觉着 非常-,不错,1.0
洗完,头发 很 顺 味道 也 很-,香,1.0
控油,洗发水-,确实,1.0
洗发水,就 问 了+,蓬松,1.0
用用,发质 的 洗发露+,不同,1.0
闻到,味道 挺-,香,1.0
质量,好-,差,1.0
气味,是-,很好,1.0
头发,特别-,粗糙,1.0
追评,一款-,好,1.0
发质,又 粗 很 毛躁 那种+,黑,1.0
感觉,的+,清新,1.0
洗发水,非常 的-,不错,1.0
头发,用 洗完+,好,1.0
头发,特别 的-,蓬松,2.0
控油,效果 也 非常-,好,1.0
力度,也-,大,1.0
味道,很-,清淡,1.0
洗完,头发 后-,清爽,1.0
商品,气味 很-,好,1.0
商品,气味 味道-,清新,2.0
油量,有点-,大,1.0
头发,变得 既-,干净,1.0
味道,会 比较-,淡,1.0
感受,不是 很-,明显,1.0
感觉,洗 的 比 其他 洗发水 洗 的-,干净,1.0
洗完,头 头发 也 很-,蓬松,1.0
追评,之前 买 过-,好,1.0
味道,也-,不错,4.0
洗发水,是+,全,1.0
推荐,大家 一起 用 才 算-,好,1.0
商家,能够-,大,1.0
头发,的 蓬松 感 也 让 我-,惊喜,1.0
头发,都 很-,蓬松,5.0
头发,第三天 都 是-,蓬松,1.0
上头,很-,温和,2.0
清洗,过程 泡沫 丰厚-,细腻,1.0
头顶,是 真的-,蓬松,1.0
气味,好闻 很-,香,1.0
洗完,挺-,蓬松,2.0
洗完,头发 还-,很痒,1.0
去屑,控油 效果-,不错,1.0
洗发水,是 一款 性价比-,高,1.0
吹干,后 头发-,蓬松,1.0
控油,效果 能 这么-,好,1.0
感觉,非常-,清爽,4.0
气味,香味 很-,清新,1.0
洗完,头发 也 不-,干燥,1.0
香味,也 不-,持久,1.0
冲洗,起来 也 不-,费劲,1.0
追评,卖家 非常-,好,1.0
东西,也 很-,好,1.0
洗发水,更-,蓬松,1.0
效果,好 很-,不错,1.0
感觉,这 一年 来 头皮-,痒,1.0
心情,的 花香调 更是 让 人+,持久,1.0
头发,特别-,痒,1.0
快递,盒 都-,扁,1.0
控油,去屑 效果 特别-,好,1.0
顺滑,不-,干涩,1.0
发质,塌+,细软,1.0
头顶,特别 的-,干净,1.0
油腻,几天 不会 感觉+,好,1.0
头发,后 感觉-,清爽,1.0
感觉,自己 头发 洗 不-,干净,1.0
头发,也 不-,枯燥,1.0
洗发,后 很-,清爽,1.0
洗头水,很-,好,2.0
洗发水,让 我 的 头发 变得 很-,蓬松,1.0
头发,真的-,好,1.0
头发,多 的 姐妹 们 也 要-,慎重,1.0
去屑,效果 真心-,不错,1.0
服务,也 周到 发货 速度-,快,1.0
宝贝,质量 很-,好,1.0
回购,还是 选择+,最好,1.0
成分,也 比较-,安全,1.0
绵密,我 大 油头 洗完 之后 头发 真的 很-,蓬松,1.0
头皮,刺激-,挺大,1.0
香气,很-,适宜,1.0
黄色,的 很-,香,1.0
头发,容易 干枯-,毛躁,1.0
香味,比较-,持久,2.0
商品,效果-,好,1.0
洗完,头发 也 挺-,蓬松,1.0
洗完,比 之前 用 的 产品 确实-,好,1.0
洗发水,质地-,细腻,1.0
味道,很-,不错,5.0
洗完,之后 头发 特别 的-,蓬松,2.0
头发,重现-,柔顺,1.0
洗完,头 很-,蓬松,1.0
去屑,控油 效果 很-,好,1.0
已経回焰,三次 了 味道 也 很-,香,1.0
客服,态度 很-,积极,2.0
效果,是-,最好,2.0
控油,效果 非常-,好,12.0
尝试,各种 控油-,蓬松,1.0
洗护,效果-,明显,1.0
洗完,特别-,柔顺,1.0
回购,的 这款 特别-,不错,1.0
头发,一整天 都 保持 着-,良好,1.0
头皮,的 每 一个 毛孔 都 被 清洁 得 很-,彻底,1.0
追评,这款 洗发水 的 控油 蓬松 效果 真的-,不错,1.0
香气,优雅 的+,清新,1.0
洗发水,的+,贵,1.0
洗发水,的+,蓬松,4.0
姐姐,看到 我 的 头发 都 觉得-,惊讶,1.0
感觉,真的 太棒了 每 差 一步 都 是 惊喜 和-,喜悦,1.0
头皮屑,油 和 有+,容易,1.0
洗发水,头发 头皮 的 一款+,干净,1.0
购买,了 味道 很-,香,1.0
姐妹,塌 的+,细软,1.0
头发,就 很-,柔顺,1.0
洗发水,控油 效果 很-,好,3.0
头皮,都 很-,清爽,1.0
头发,又 顺 又-,香,1.0
油力,还是 很-,不错,2.0
味道,的+,蓬松,2.0
头发,变得 清爽-,柔顺,1.0
洗完,头发 后 感觉-,清爽,1.0
头发,都-,巨,1.0
洗发水,都 是 很-,容易,1.0
洗完,后 明显-,清爽,1.0
能力,特别-,强,1.0
润滑,蓬松 效果 和+,确实,1.0
商品,气味 泡沫 蛮 多 的-,容易,1.0
头发,也-,蓬松,2.0
洗完,真的 很-,蓬松,4.0
追评,洗头水 很-,好,1.0
留香,也 非常-,久,1.0
头发,瞬间-,高,1.0
感觉,是+,老,1.0
小样,洗起来-,完全,1.0
泡沫,很 丰富 和 很-,容易,1.0
想象,中 的 还要-,好,1.0
销量,为什么 这么-,高,1.0
赠品,也 很-,丰富,1.0
洗发水,特别-,柔顺,2.0
客服,服务态度 从头到尾 都 很-,好,1.0
洗发,后 非常-,清爽,1.0
洗发水,用 完后 头发 太-,蓬松,1.0
客服,也 很 有-,耐心,1.0
头发,能 蓬松 个-,好,1.0
头皮,澈+,净,1.0
遇见,一款-,好,1.0
控油,的 洗发水 解决 了-,很大,1.0
活动,真的 很-,合适,1.0
泡沫,用 清洗 过程+,好,1.0
头发,依然-,清爽,1.0
护发素,可以 使 头发 非常 的-,蓬松,1.0
洗发水,的 质量 很-,好,2.0
洗发水,在 入手 这 款+,幸好,1.0
洗完,头发 很 清爽-,舒服,1.0
头发,出油 很-,严重,1.0
洗完,头 很-,舒服,1.0
质量,也-,很好,1.0
追评,之前 发质 很-,差,1.0
去屑,没有 以前-,好,1.0
销量,好 口碑-,好,1.0
洗起来,很-,舒服,1.0
味道,很 香 很 香 很-,香,1.0
追评,用 起来 真的-,很大,1.0
正装,和 送 的 小样 洗起来-,完全,1.0
体验,很-,好,1.0
油腻,几天 都 不+,好,1.0
洗发,效果 也 特别 的-,好,1.0
广告,打 的-,挺好,1.0
包装,很-,好,28.0
气味,味道-,好,2.0
气味,味道-,不错,2.0
洗头,就-,容易,1.0
功能丰富,实用 且-,精妙,1.0
感觉,特别-,舒适,1.0
洗完,之后 头发 也 很-,滑顺,1.0
洗发水,味道 真的 很-,香,1.0
洗发水,一样 是-,浓稠,1.0
控油,能力 很-,不错,1.0
推荐,朋友 给 我+,幸好,2.0
商品,气味 香味 很-,清新,1.0
头发,上 的 油污 也 洗 的 很-,干净,1.0
